hostname,RX Gain A,RX Gain B,Timestamp,Circular Mean (degrees),Circular Std Dev (degrees)
T08,38,38,2025-04-16 14:02:24,-3.073226707495326,0.028502477355374912
T08,38,38,2025-04-16 14:02:43,-3.0496008464786084,0.011687193555016495
T08,38,38,2025-04-16 14:03:02,-3.036913134937624,0.010426683494316542
T08,38,38,2025-04-16 14:03:21,-3.082856319768344,0.03629916187928496
T08,38,38,2025-04-16 14:03:40,-3.0509585473465255,0.018812387487696158
T08,38,38,2025-04-16 14:03:59,-3.0501277472632893,0.017886652184733582
T08,38,38,2025-04-16 14:04:18,-3.045593191422999,0.012708703631702
T08,38,38,2025-04-16 14:04:37,-4.981133847213177,2.159851870514897
T08,38,38,2025-04-16 14:04:56,-2.9875028736256892,0.03645894467760705
T08,38,38,2025-04-16 14:05:15,-3.0737902243862103,0.015203897213003853
T08,38,38,2025-04-16 14:05:34,-4.387573678838613,2.3132417625586164
T08,38,38,2025-04-16 14:05:53,-3.0663469249270228,0.03548332747171374
T08,38,38,2025-04-16 14:06:12,-3.020529968784229,0.015346535332275453
T08,38,38,2025-04-16 14:06:31,-3.0620732211660697,0.015152081568214083
T08,38,38,2025-04-16 14:06:50,-3.037374974533137,0.02130575502637897
T08,38,38,2025-04-16 14:07:09,-3.0502783475117745,0.01102013537196104
T08,38,38,2025-04-16 14:07:28,-3.0715065248496507,0.028176271722977174
T08,38,38,2025-04-16 14:07:47,-3.0087761348798545,0.02424900795597351
T08,38,38,2025-04-16 14:08:06,-3.053881142585199,0.017913208308841837
T08,38,38,2025-04-16 14:08:25,-2.337125013801152,2.279379272780151
T08,38,38,2025-04-16 14:08:44,-3.0365810623133322,0.014681706896188926
T08,38,38,2025-04-16 14:09:03,-3.0445072378955653,0.030739872445290625
T08,38,38,2025-04-16 14:09:22,-4.149692522804515,2.28606133395243
T08,38,38,2025-04-16 14:09:41,-3.063829063482613,0.009798919181119024
T08,38,38,2025-04-16 14:10:00,-3.050112646279423,0.018922035322327432
T08,38,38,2025-04-16 14:10:19,-3.0232878347195387,0.014528411555617382
T08,38,38,2025-04-16 14:10:38,-3.0625275741674254,0.010076834785615022
T08,38,38,2025-04-16 14:10:57,-3.090092475337351,0.04294972650238483
T08,38,38,2025-04-16 14:11:16,-3.0753382440414927,0.028469887702240272
T08,38,38,2025-04-16 14:11:35,-1.6839570305892977,2.1834787113980636
T08,38,38,2025-04-16 14:11:54,-3.0490872686776025,0.019962350314519917
T08,38,38,2025-04-16 14:12:13,-3.049125028795586,0.022284254020582425
T08,38,38,2025-04-16 14:12:32,-3.089721121571362,0.042482387261893656
T08,38,38,2025-04-16 14:12:51,-3.0922574916977283,0.04423452962759532
T08,38,38,2025-04-16 14:13:10,-3.0456880962108244,0.011666059418170921
T08,38,38,2025-04-16 14:13:29,-3.0052922791879455,0.02330654039971769
T08,38,38,2025-04-16 14:13:48,-2.9775089932753307,0.05521244622195877
T08,38,38,2025-04-16 14:14:07,-3.0440937040538083,0.014816266265747991
T08,38,38,2025-04-16 14:14:26,-3.0899969258456723,0.05056436507005646
T08,38,38,2025-04-16 14:14:45,-3.037394382184015,0.01209463962655364
T08,38,38,2025-04-16 14:15:04,-3.050067401223079,0.016400074224551933
T08,38,38,2025-04-16 14:15:23,-3.049500175177925,0.012484731227449275
T08,38,38,2025-04-16 14:15:42,-3.04910546406841,0.012815784303438148
T08,38,38,2025-04-16 14:16:01,-2.9561243260331502,0.06391989620722473
T08,38,38,2025-04-16 14:16:20,-3.053111038574632,0.02030898508234953
T08,38,38,2025-04-16 14:16:39,-3.0339574726398784,0.014449194172865967
T08,38,38,2025-04-16 14:16:58,-3.0167444638013494,0.02103381482259778
T08,38,38,2025-04-16 14:17:17,-3.0528589479353077,0.02642616865540385
T08,38,38,2025-04-16 14:17:36,-2.962180113907076,0.06092945443065466
T08,38,38,2025-04-16 14:17:55,-3.0543806348242923,0.011134939972023541
T08,38,38,2025-04-16 14:18:14,-3.0579581894124175,0.018135288913511568
T08,38,38,2025-04-16 14:18:33,-3.0515971279308074,0.02083903538605728
T08,38,38,2025-04-16 14:18:52,-3.096165525469476,0.038159976578294036
T08,38,38,2025-04-16 14:19:11,-3.0764651508395904,0.03285077885569155
T08,38,38,2025-04-16 14:19:30,-3.020440318157373,0.020558312059789332
T08,38,38,2025-04-16 14:19:49,-3.0545949298807944,0.014854782058566099
T08,38,38,2025-04-16 14:20:08,-3.079698482367415,0.01541422483169472
T08,38,38,2025-04-16 14:20:27,-3.0740826743296474,0.01238138928337539
T08,38,38,2025-04-16 14:20:46,-3.049500946327962,0.024869568554980303
T08,38,38,2025-04-16 14:21:05,-3.0488715836078435,0.017784357645530047
T08,38,38,2025-04-16 14:21:24,-3.04970766443286,0.018557199899374585
T08,38,38,2025-04-16 14:21:43,-3.0487632138076566,0.017594757254222437
T08,38,38,2025-04-16 14:22:02,-3.1073696791467302,0.06545189622510457
T08,38,38,2025-04-16 14:22:21,-3.019348701834918,0.019288323977794106
T08,38,38,2025-04-16 14:22:40,-3.065717984083209,0.02006933692021676
T08,38,38,2025-04-16 14:22:59,-3.0879622767455013,0.031819825525884464
T08,38,38,2025-04-16 14:23:18,-2.995244329280373,0.038222644050384634
T08,38,38,2025-04-16 14:23:37,-0.5518861717182423,2.157196393040731
T08,38,38,2025-04-16 14:23:56,-3.0782814786731576,0.03577146513522501
T08,38,38,2025-04-16 14:24:15,-3.0809704293715794,0.029817955570370612
T08,38,38,2025-04-16 14:24:34,-3.0329620605632286,0.014597835928573385
T08,38,38,2025-04-16 14:24:53,-3.0322197607658414,0.012371075944108304
T08,38,38,2025-04-16 14:25:12,-3.031863865837645,0.013453526733514784
T08,38,38,2025-04-16 14:25:31,-3.042713226144948,0.013760903504145596
T08,38,38,2025-04-16 14:25:50,-3.0141436540573423,0.016077983379385725
T08,38,38,2025-04-16 14:26:09,-2.9978614769711007,0.03677395250957343
T08,38,38,2025-04-16 14:26:28,-3.017221334112887,0.018546983641022783
T08,38,38,2025-04-16 14:26:47,-4.081675657026755,2.3286437036671286
T08,38,38,2025-04-16 14:27:06,-2.9909660704907304,0.03466703295489723
T08,38,38,2025-04-16 14:27:25,-3.0796299546510655,0.01629815630030949
T08,38,38,2025-04-16 14:27:44,-3.02339077777644,0.011539315002454224
T08,38,38,2025-04-16 14:28:03,-2.9954379147892185,0.03349177360761678
T08,38,38,2025-04-16 14:28:22,-3.0098213165789995,0.02271028470252406
T08,38,38,2025-04-16 14:45:49,-3.074071454073546,0.02802179815761528
T08,38,38,2025-04-16 14:46:08,-3.059954447645346,0.018482514989299464
T08,38,38,2025-04-16 14:46:27,-3.0497072679210975,0.020340502059768395
T08,38,38,2025-04-16 14:46:46,-3.5296800891808613,2.315308867547614
T08,38,38,2025-04-16 14:47:05,-3.019653724913338,0.014250389544392764
T08,38,38,2025-04-16 14:47:24,-3.0333424645952998,0.011626562930926343
T08,38,38,2025-04-16 14:47:43,-3.047715956937748,0.015650007068109036
T08,38,38,2025-04-16 14:48:02,-3.097762462286184,0.043407584197320555
T08,38,38,2025-04-16 14:48:21,-3.083765641643309,0.018330880933569015
T08,38,38,2025-04-16 14:48:40,-3.060690702607677,0.01810552133829355
T08,38,38,2025-04-16 14:48:59,-3.0235741936819385,0.016044204338063806
T08,38,38,2025-04-16 14:49:18,-2.660674215009701,0.08640878133065172
T08,38,38,2025-04-16 14:49:37,-3.056774154527534,0.016948469021387982
T08,38,38,2025-04-16 14:49:56,-0.4745059190701519,2.0837556318547135
T08,38,38,2025-04-16 14:50:15,-3.0452327646874955,0.008663068260748204
T08,38,38,2025-04-16 14:50:34,-3.082071241304951,0.04806157160692383
T08,38,38,2025-04-16 14:50:53,-3.0443444964284203,0.017865917578828456
T08,38,38,2025-04-16 14:51:12,-3.0520850173692775,0.016979124430825814
T08,38,38,2025-04-16 14:51:31,-3.0227387931183847,0.019568041171389248
T08,38,38,2025-04-16 14:51:50,-3.0382713698170334,0.011043293720271649
T08,38,38,2025-04-16 14:52:09,-3.066540953779517,0.03197367956526991
T08,38,38,2025-04-16 14:52:28,-3.008794353338512,0.02929715838798285
T08,38,38,2025-04-16 14:52:47,-3.083261713447656,0.0317960936803328
T08,38,38,2025-04-16 14:53:06,-3.0907990975848527,0.04074866965374871
T08,38,38,2025-04-16 14:53:25,-3.0195966476292475,0.015938074802274816
T08,38,38,2025-04-16 14:53:44,-3.067290132524639,0.017616907630338623
T08,38,38,2025-04-16 14:54:03,-3.003703818712181,0.02591889200800086
T08,38,38,2025-04-16 14:54:22,-3.025639609743856,0.01626939326959735
T08,38,38,2025-04-16 14:54:41,-2.6752683951916825,0.14568768428326798
T08,38,38,2025-04-16 14:55:00,-3.0783334437027063,0.04071017017643296
T08,38,38,2025-04-16 14:55:19,-3.0547192283804634,0.022639362235763922
T08,38,38,2025-04-16 14:55:38,-3.10346799131226,0.04859988885455424
T08,38,38,2025-04-16 14:55:57,-3.051184798056372,0.022940124857145448
T08,38,38,2025-04-16 14:56:16,-3.01886635270897,0.022882226358731994
T08,38,38,2025-04-16 14:56:35,-3.09753695553599,0.05294982784673108
T08,38,38,2025-04-16 14:56:54,-3.0444964753690926,0.01990931311704328
T08,38,38,2025-04-16 14:57:13,-3.0214688668950562,0.015201031162521219
T08,38,38,2025-04-16 14:57:32,-3.041466371376332,0.012046490776219724
T08,38,38,2025-04-16 14:57:51,-3.0742231521532,0.012384316161559033
T08,38,38,2025-04-16 14:58:10,-3.0236869068292274,0.014709328604543428
T08,38,38,2025-04-16 14:58:29,-3.04774139175247,0.016337870750781157
T08,38,38,2025-04-16 14:58:48,-3.0548638243461936,0.02380512651993666
T08,38,38,2025-04-16 14:59:07,-3.0804466738323346,0.031796079455287035
T08,38,38,2025-04-16 14:59:26,-3.065479125424511,0.02220018839671363
T08,38,38,2025-04-16 14:59:45,-2.9960235411979594,0.02745734388946485
T08,38,38,2025-04-16 15:00:04,-3.013143917009105,0.02092841261030616
T08,38,38,2025-04-16 15:00:23,-3.019804478365046,0.013466688110554794
T08,38,38,2025-04-16 15:00:42,-3.081563539730164,0.3308101654966851
T08,38,38,2025-04-16 15:01:01,-3.0110319929693206,0.02534529124376424
T08,38,38,2025-04-16 15:01:20,-2.972108346656296,0.055924512181378006
T08,38,38,2025-04-16 15:01:39,-3.0462669320896985,0.030567315184154672
T08,38,38,2025-04-16 15:01:58,-3.0242875126214686,0.014956175433291304
T08,38,38,2025-04-16 15:02:17,-2.984918864910065,0.04018254791493982
T08,38,38,2025-04-16 15:02:36,-3.070365895128979,0.025465339752123037
T08,38,38,2025-04-16 15:02:55,-3.0162523395615186,0.024688366662165645
T08,38,38,2025-04-16 15:03:14,-3.043857450545797,0.011671610236128423
T08,38,38,2025-04-16 15:03:33,-3.0038489329649702,0.038264410904114685
T08,38,38,2025-04-16 15:03:52,-3.042581727271731,0.013223307371813955
T08,38,38,2025-04-16 15:04:11,-3.0634151244304286,0.021158390119105187
T08,38,38,2025-04-16 15:04:30,-3.0870468727865035,0.040603780155375864
T08,38,38,2025-04-16 15:04:49,-3.0551258199801246,0.03405336425292754
T08,38,38,2025-04-16 15:05:08,-3.0472764356811393,0.015120094749051103
T08,38,38,2025-04-16 15:05:27,-3.0485128560038337,0.024468381916645705
T08,38,38,2025-04-16 15:05:46,-3.0076913463965216,0.028359875565408643
T08,38,38,2025-04-16 15:06:05,-2.9766072155644205,0.049296013641110935
T08,38,38,2025-04-16 15:06:24,-3.1092870881387578,0.05457245460472471
T08,38,38,2025-04-16 15:06:43,-3.0591603084646195,0.016446400699735523
T08,38,38,2025-04-16 15:07:02,-3.037570530317824,0.02900026979656741
T08,38,38,2025-04-16 15:07:21,-3.062476165568692,0.010737981387596247
T08,38,38,2025-04-16 15:07:40,-3.082978166498329,0.01160210885207713
