hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T07,27,27,9.02839855814213,4.308506753087455
T07,14,14,12.058604913307029,2.6726251212843986
T07,25,25,9.298790970974217,0.1515385444373835
T07,30,29,11.333142203074512,2.5167954487012323
T07,46,46,7.474690384758635,2.480733259447418
T07,30,45,-177.0768214448601,2.526710648675902
T07,33,33,10.02999203751844,1.8237383725699847
T07,30,23,11.132220941778316,2.4572131343163743
T07,30,25,10.537472723501113,3.075995567795664
T07,30,36,-176.21283140557736,0.5384691640804538
T07,28,28,9.497095962722437,0.8297195523005362
T07,30,43,-174.1738050145578,3.0210127698834253
T07,30,16,10.936282832641188,2.2938748719281103
T07,30,7,14.117180589040744,2.4804733082203088
T07,45,45,7.665060326775877,2.571550611842393
T07,30,31,9.640003119768847,2.6229086151403362
T07,30,27,12.47084974088679,5.336764434936928
T07,30,26,10.902944976758517,2.6083869097743424
T07,41,41,10.928324785257981,3.0223058384148542
T07,31,31,9.29726782523373,0.13516578793194373
T07,42,42,9.38474279991286,2.2828355503512614
T07,36,36,8.04522684780882,2.2637681343855687
T07,39,39,9.167517828397699,2.1372887937028926
T07,30,42,-177.3658457645596,2.9369491854933716
T07,7,7,9.037595357978075,0.3274802698374922
T07,30,8,12.445080059585225,3.584498584723235
T07,30,15,9.894919350756615,2.8199514488887356
T07,40,40,8.894113147097205,2.5079878128980178
T07,21,21,9.230067049836082,1.2005275127409816
T07,30,13,14.811646617403436,1.9499948921277528
T07,43,43,9.06657441397854,2.607641779021653
T07,30,46,-177.69282107130286,3.717662552780879
T07,30,40,-172.58556302137742,3.225454979452187
T07,37,37,8.620424898301916,0.06462385102466475
T07,30,14,13.959391267696327,3.0991108732666426
T07,30,20,11.205591315505082,2.885592654429717
T07,15,15,7.493058787365265,2.047071044361468
T07,24,24,9.901438619808056,1.7349860109149347
T07,30,12,10.27308654321725,2.6504049192361685
T07,9,9,9.212236576306024,0.19398181106241738
T07,30,9,13.423396682694763,2.7341643119581702
T07,30,21,9.438839019326132,2.6096673706150484
T07,30,38,-175.766905102109,2.793094222674678
T07,30,17,14.964400580951777,3.358903350887915
T07,17,17,11.29870601471618,2.580657934830837
T07,30,48,-175.94154062738227,1.846304353995347
T07,10,10,9.180143526095112,0.23960128098289846
T07,30,34,-172.3643036823195,3.719986717228517
T07,30,11,14.195874931681107,1.9559369732800762
T07,23,23,7.068626130371984,2.0884876938289003
T07,18,18,6.566878291017491,2.1177349158526475
T07,22,22,9.288068947939568,0.07561958265910176
T07,30,44,-179.89278818922662,3.2587850347987444
T07,30,18,11.41377256487891,3.9199212947385305
T07,30,19,15.00421512832048,3.3167596591044934
T07,30,28,10.149625132028461,3.4485438487689604
T07,20,20,9.220282667729245,0.115116404496399
T07,11,11,11.69905414691067,4.09428375338535
T07,38,38,8.55817635579124,0.08293565228449112
T07,26,26,9.289456928801119,0.1322217024977834
T07,30,22,8.97132586979008,1.9197380709593135
T07,34,34,9.32652880157613,1.2571144732000576
T07,47,47,7.158001143347163,2.4369309610477172
T07,16,16,10.353623567253345,2.144377830330977
T07,29,29,9.012717512715394,0.9003260561556283
T07,30,37,-176.66114170312102,2.974322177410497
T07,30,35,-172.19405079448765,2.8106039934208273
T07,30,39,-178.2538966944639,2.597921747003573
T07,30,30,9.66518277961501,1.3853734831045996
T07,30,10,10.902543923349159,2.0237313687600342
T07,12,12,9.257833114920555,0.23214697301414458
T07,8,8,8.352271690859261,3.4718399199602037
T07,30,32,13.009708725656395,3.6610164406499437
T07,30,41,-171.9414014647688,4.1153868031145775
T07,48,48,6.767294241546511,2.462674521192181
T07,32,32,8.664594822140403,1.179351968384836
T08,46,46,0.4537237793355741,2.707842131306447
T08,30,22,0.47565758320116075,2.0802679595337885
T08,19,19,1.6611597293188736,2.7694227197647034
T08,40,40,-2.0799870085647987,3.4605603886921115
T08,37,37,0.3556907313496274,0.3767820377589047
T08,16,16,-1.9189945551925103,3.791873873929898
T08,30,44,173.9027909417509,2.804680822290874
T08,30,42,175.69420878927664,2.4193452187054487
T08,30,13,3.9084848058227353,3.318732623693414
T08,30,48,174.89019709034787,3.7634760749845877
T08,30,7,7.8084461079925385,2.1817470140143795
T08,23,23,1.1776750420183286,2.3024677086198624
T08,32,32,3.017376277280652,4.405433438873367
T08,35,35,0.5660976878184882,0.31892296910160817
T08,30,33,1.3980578041279774,0.5929876403566238
T08,48,48,-1.0274596743698952,2.2644792845401516
T08,30,47,174.48230058157222,2.5943334233393847
T08,30,16,3.7306625259566935,2.100944225534314
T08,30,28,2.317781314169072,3.829882343769753
T08,30,26,3.565805745295979,1.5070187207387735
T08,27,27,3.257619860547872,2.056566014401959
T08,20,20,3.114305243376054,1.5367379165488608
T08,30,41,175.80397408096897,2.6332264477340686
T08,28,28,2.1953506308604007,2.405007970548728
T08,36,36,1.2605991079338026,2.276445615925202
T08,30,38,176.80661261301682,2.6205659636563947
T08,22,22,1.3771464474737933,0.4406285333200894
T08,18,18,2.5707453934696636,2.0685106079336943
T08,30,34,-178.50849436241282,2.7872419140979607
T08,26,26,-0.6656624620110688,2.396819747487834
T08,21,21,1.3344804407793316,0.4213180379118436
T08,14,14,0.929535636703193,2.061049595679625
T08,24,24,1.3681783244189316,0.4843304515416617
T08,15,15,0.9118507386724323,2.0416115297906616
T08,30,17,7.900237441094119,3.214458860786364
T08,41,41,0.10265209477635331,2.408926022631932
T08,30,39,177.0131958148096,2.999689217424757
T08,30,14,5.503901567514024,1.9835006148419545
T08,30,21,-1.5566297460760532,4.246121909906292
T08,30,43,178.40966162899693,2.946183834107914
T08,30,27,2.9679618511549783,5.9223793007312695
T08,34,34,1.1523864752837962,0.9691564619232479
T08,29,29,1.4220909161161135,0.5469719192145847
T08,30,19,2.8480000261594323,2.6990338648599375
T08,30,8,4.37365468319119,3.8740833748733525
T08,31,31,0.42232701633933845,1.8710772788975105
T08,30,40,179.18816228512188,2.757014678736247
T08,7,7,3.1383790511805807,2.193712360247767
T08,12,12,1.3773842746069056,0.5647312044047998
T08,10,10,0.5110333278575886,1.5820651688210687
T08,17,17,0.5164816711365247,4.637235275249055
T08,30,23,3.262435706253348,2.431251736964173
T08,30,18,5.378182868288027,3.0879957612900077
T08,30,30,2.0156216742199247,2.4754313853007592
T08,25,25,1.3816835514401729,0.473050529828317
T08,30,45,174.95732431052775,3.064316030615221
T08,9,9,1.2356855050151496,0.5425203808786727
T08,30,31,3.863052836296545,2.4145855416082376
T08,30,35,179.03496217981998,2.6932713685454575
T08,30,46,175.40552376787593,2.3848854940406436
T08,47,47,-0.9833925823931924,2.285786013228933
T08,30,24,0.6400739597911461,1.9236272290478815
T08,30,29,3.764175198298796,3.305949147378235
T08,8,8,1.4508064456814258,4.941047577558499
T08,30,36,175.7599982778128,2.8372684613270693
T08,30,37,175.45605473529258,2.060755117488365
T08,30,11,8.281202002030454,4.4113682008179325
T08,30,20,2.398274510610063,1.0372451998066239
T08,33,33,2.003969603345164,1.7083663704238745
T08,30,9,1.6472212313629904,2.121001817834328
T08,44,44,0.10513959217692544,2.5907335087040435
T08,45,45,0.25474744554103235,2.6881696874339105
T08,30,32,-1.8102401924339873,3.6669593532253715
T08,30,12,1.9829448887866081,2.057987683830085
T08,11,11,0.3752273495710847,3.7103822674323115
T08,38,38,0.46716254299350185,0.6793651437674298
T08,39,39,0.280494355984628,3.4108596196704486
T08,42,42,0.9128961468574511,3.100472664447186
T08,13,13,-0.7102036256869052,2.0849238090110207
T08,30,10,6.553099544068701,2.2839778165610483
T08,30,25,0.4932781389105017,2.4505331931679155
T08,43,43,0.3023360212274106,2.3638054651612226
T08,30,15,6.2859387797809525,1.9044589741692104
